day,tempMin,tempMax,summary,desc,cloudCover,humidity,windSpeed,visibility
2015-01-26,4.26,7.57,Mostly cloudy throughout the day.,rain,0.54,0.83,9.38,6.21
2015-01-27,5.25,8.41,Possible drizzle overnight.,partly-cloudy-day,0.78,0.91,9.47,5.37
2015-01-28,-0.01,8.18,Possible light rain in the morning.,rain,0.76,0.88,15.18,4.57
2015-01-29,-2.2,2.85,Possible drizzle in the afternoon.,rain,0.55,0.87,6.95,5.88
2015-01-30,-2.77,4.52,Partly cloudy throughout the day.,clear-day,0.3,0.83,7.76,6.22
2015-01-31,1.55,4.61,Clear throughout the day.,clear-day,0.28,0.74,9.99,6.22
2015-02-01,-1.75,4.03,Clear throughout the day.,clear-day,0.3,0.68,6.41,6.22
2015-02-02,-3.13,3.82,Clear throughout the day.,clear-day,0.04,0.83,2.88,6.22
2015-02-03,-5.67,3.47,Clear throughout the day.,clear-day,0.16,0.8,2.62,5.89
2015-02-04,-4.59,4.42,Clear throughout the day.,clear-day,0.03,0.8,2.56,6.21
2015-02-05,0.46,8.05,Foggy overnight.,partly-cloudy-day,0.44,0.87,2.19,6.22
2015-02-06,-1.52,6.95,Foggy in the morning and overnight.,partly-cloudy-day,0.53,0.88,1.92,3.63
2015-02-07,-1.64,8.42,Foggy in the morning.,clear-day,0.2,0.87,2.13,4.3
2015-02-08,-1.23,7.85,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.89,4.74,5.83
2015-02-09,5.32,9.11,Overcast throughout the day.,cloudy,0.92,0.87,7.53,6.22
2015-02-10,3.43,6.85,Overcast throughout the day.,cloudy,0.97,0.87,5.31,6.12
2015-02-11,3.23,5.93,Overcast throughout the day.,cloudy,0.97,0.84,5.53,5.53
2015-02-12,3.72,8.13,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.82,4.0,6.11
2015-02-13,3.52,6.8,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.82,8.08,4.91
2015-02-14,5.36,9.08,Overcast throughout the day.,cloudy,0.94,0.86,4.44,5.39
2015-02-15,5.11,10.18,Possible drizzle overnight.,rain,0.63,0.79,6.97,6.02
2015-02-16,1.65,7.07,Possible drizzle in the morning.,rain,0.55,0.86,6.53,6.18
2015-02-17,1.1,7.81,Possible drizzle overnight.,partly-cloudy-day,0.7,0.85,11.05,6.16
2015-02-18,6.97,11.1,"Possible light rain until morning, starting again in the evening.",rain,0.94,0.89,13.38,5.7
2015-02-19,3.54,9.32,"Possible drizzle until morning, starting again in the evening.",rain,0.6,0.82,11.48,6.14
2015-02-20,1.02,5.79,Possible drizzle in the afternoon.,rain,0.68,0.88,7.13,6.2
2015-02-21,-0.23,5.43,Foggy overnight.,partly-cloudy-day,0.5,0.87,5.58,5.99
2015-02-22,-0.7,6.98,Light rain until evening.,rain,0.84,0.92,6.83,4.33
2015-02-23,1.99,5.09,Light rain throughout the day.,rain,0.82,0.84,16.14,5.46
2015-02-24,2.36,6.12,Possible drizzle until evening.,rain,0.59,0.79,13.73,6.2
2015-02-25,0.53,10.37,Possible light rain in the evening and overnight.,rain,0.63,0.92,5.1,5.17
2015-02-26,1.58,10.76,"Light rain until morning, starting again in the evening.",rain,0.64,0.85,12.92,5.77
2015-02-27,1.81,7.01,Possible drizzle in the morning and overnight.,rain,0.62,0.84,10.88,5.95
2015-02-28,5.97,9.85,Possible light rain starting in the afternoon.,rain,0.88,0.88,13.35,5.19
2015-03-01,2.01,7.02,Possible light rain in the morning and afternoon.,rain,0.72,0.85,14.68,5.63
2015-03-02,0.99,4.37,Mostly cloudy throughout the day.,partly-cloudy-day,0.68,0.85,11.08,6.16
2015-03-03,1.02,4.73,Light rain throughout the day.,rain,0.67,0.84,11.64,5.87
2015-03-04,2.42,8.59,Partly cloudy throughout the day.,rain,0.44,0.78,8.31,6.22
2015-03-05,6.38,9.93,Overcast throughout the day.,cloudy,0.89,0.83,12.61,5.89
2015-03-06,7.13,9.58,Light rain in the evening and overnight.,rain,0.69,0.8,15.17,6.05
2015-03-07,7.88,12.22,"Light rain until afternoon, starting again overnight.",rain,0.86,0.89,18.47,4.57
2015-03-08,3.43,10.12,Possible light rain in the morning.,rain,0.57,0.8,11.74,6.03
2015-03-09,1.49,10.93,"Possible light rain until afternoon, starting again overnight.",rain,0.58,0.81,13.37,5.85
2015-03-10,1.58,9.52,Partly cloudy throughout the day.,rain,0.38,0.75,9.35,6.22
2015-03-11,1.08,8.72,Light rain in the afternoon.,rain,0.36,0.81,8.85,5.88
2015-03-12,0.83,9.98,Light rain starting in the afternoon.,rain,0.67,0.88,6.82,5.72
2015-03-13,1.33,10.0,Foggy in the morning.,rain,0.44,0.83,3.11,5.06
2015-03-14,2.36,6.26,Overcast throughout the day.,cloudy,0.95,0.72,4.65,5.86
2015-03-15,-1.12,7.6,Overcast throughout the day.,partly-cloudy-day,0.7,0.8,4.45,6.22
2015-03-16,4.15,7.21,Mostly cloudy throughout the day.,partly-cloudy-day,0.74,0.84,4.06,5.94
2015-03-17,2.46,7.71,Foggy overnight.,partly-cloudy-day,0.86,0.85,2.14,3.43
2015-03-18,2.83,11.43,Foggy in the morning and overnight.,partly-cloudy-day,0.51,0.79,1.6,4.29
2015-03-19,-0.17,11.46,Foggy in the morning.,partly-cloudy-day,0.33,0.78,2.07,3.83
2015-03-20,4.24,10.31,Mostly cloudy throughout the day.,partly-cloudy-day,0.66,0.84,6.71,5.47
2015-03-21,0.37,12.04,Clear throughout the day.,clear-day,0.02,0.75,2.75,6.22
2015-03-22,3.65,11.17,Partly cloudy throughout the day.,partly-cloudy-day,0.66,0.8,7.88,6.13
2015-03-23,3.15,10.62,Partly cloudy throughout the day.,partly-cloudy-day,0.58,0.77,9.62,6.12
2015-03-24,1.58,8.73,Mostly cloudy throughout the day.,partly-cloudy-day,0.56,0.8,4.44,6.21
2015-03-25,-2.03,9.13,Light rain overnight.,clear-day,0.24,0.73,3.77,6.22
2015-03-26,1.71,9.67,Light rain in the morning.,rain,0.77,0.81,10.96,5.06
2015-03-27,1.4,9.39,Possible light rain overnight.,partly-cloudy-day,0.57,0.74,6.27,6.22
2015-03-28,4.53,11.69,"Possible light rain until morning, starting again in the evening.",rain,0.75,0.86,10.64,5.46
2015-03-29,3.27,7.59,Drizzle in the evening and overnight.,rain,0.78,0.87,8.57,6.06
2015-03-30,1.77,9.06,Light rain starting in the afternoon.,rain,0.73,0.86,11.25,5.73
2015-03-31,2.75,8.05,Possible drizzle in the morning and afternoon.,rain,0.65,0.78,18.56,5.76
2015-04-01,1.97,8.12,Mostly cloudy throughout the day.,partly-cloudy-day,0.6,0.8,11.54,6.22
2015-04-02,-1.02,9.69,Light rain overnight.,clear-day,0.11,0.68,2.93,6.22
2015-04-03,2.69,9.37,Drizzle in the morning and afternoon.,rain,0.9,0.9,4.06,5.1
2015-04-04,3.38,14.02,Foggy overnight.,partly-cloudy-day,0.37,0.82,4.17,6.22
2015-04-05,5.49,16.39,Foggy in the morning and overnight.,partly-cloudy-day,0.51,0.86,2.25,4.47
2015-04-06,4.38,15.28,Foggy in the morning and afternoon.,partly-cloudy-day,0.72,0.85,3.23,3.06
2015-04-07,4.7,12.1,Foggy overnight.,partly-cloudy-day,0.79,0.8,6.03,6.22
2015-04-08,0.56,15.86,Foggy in the morning and overnight.,partly-cloudy-day,0.34,0.77,2.21,4.65
2015-04-09,3.82,16.51,Foggy in the morning.,clear-day,0.1,0.71,4.74,4.64
2015-04-10,3.14,17.02,Foggy in the morning.,clear-day,0.15,0.67,5.19,4.85
2015-04-11,3.38,9.77,Possible light rain in the morning and afternoon.,rain,0.61,0.76,10.95,6.02
2015-04-12,3.75,10.23,Light rain in the morning and afternoon.,rain,0.65,0.75,8.89,6.12
2015-04-13,2.31,11.3,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.83,6.71,6.01
2015-04-14,9.5,12.07,Possible drizzle overnight.,cloudy,0.89,0.88,11.13,4.97
2015-04-15,4.23,11.56,Light rain in the morning.,rain,0.57,0.74,9.26,5.61
2015-04-16,-0.09,14.08,Clear throughout the day.,clear-day,0.04,0.69,2.72,6.22
2015-04-17,1.77,14.49,Partly cloudy throughout the day.,clear-day,0.29,0.7,5.37,6.22
2015-04-18,2.01,15.51,Partly cloudy throughout the day.,clear-day,0.24,0.7,4.35,6.15
2015-04-19,2.11,12.07,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.74,5.06,6.22
2015-04-20,3.64,14.15,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.71,5.06,6.22
2015-04-21,1.61,17.06,Clear throughout the day.,clear-day,0.04,0.73,3.47,6.22
2015-04-22,3.88,20.05,Clear throughout the day.,clear-day,0.03,0.71,2.27,6.17
2015-04-23,4.66,18.5,Foggy in the morning and overnight.,clear-day,0.06,0.73,3.86,5.01
2015-04-24,5.89,13.56,Foggy in the morning.,partly-cloudy-day,0.83,0.87,4.39,3.97
2015-04-25,4.02,11.82,Clear throughout the day.,partly-cloudy-day,0.42,0.67,9.33,6.16
2015-04-26,0.29,9.43,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.67,8.14,6.22
2015-04-27,-1.24,8.37,Possible light rain in the afternoon and evening.,rain,0.43,0.72,6.94,6.1
2015-04-28,2.37,8.36,Possible light rain in the evening and overnight.,rain,0.64,0.8,9.76,5.99
2015-04-29,3.48,8.58,Possible light rain until evening.,rain,0.78,0.86,8.9,6.08
2015-04-30,2.94,11.94,Clear throughout the day.,clear-day,0.25,0.66,4.99,6.22
2015-05-01,-1.32,11.12,Clear throughout the day.,clear-day,0.21,0.66,4.3,6.22
2015-05-02,0.71,9.38,Possible drizzle overnight.,partly-cloudy-day,0.71,0.74,8.67,6.22
2015-05-03,4.58,9.83,"Light rain until afternoon, starting again overnight.",rain,0.86,0.89,9.27,5.8
2015-05-04,8.25,14.67,Possible drizzle in the morning.,rain,0.59,0.72,8.84,5.74
2015-05-05,6.8,10.25,"Light rain until afternoon, starting again overnight.",rain,0.66,0.84,9.93,5.72
2015-05-06,6.27,12.05,Drizzle in the morning.,rain,0.62,0.8,8.12,6.15
2015-05-07,2.56,11.07,Partly cloudy throughout the day.,partly-cloudy-day,0.32,0.66,7.72,6.22
2015-05-08,1.24,12.92,Possible drizzle in the evening and overnight.,rain,0.34,0.71,3.9,6.22
2015-05-09,6.58,16.01,Partly cloudy throughout the day.,partly-cloudy-day,0.49,0.7,6.14,6.22
2015-05-10,8.5,14.08,Light rain in the evening and overnight.,rain,0.77,0.86,8.18,5.35
2015-05-11,10.08,15.81,Partly cloudy throughout the day.,rain,0.44,0.74,13.38,6.16
2015-05-12,7.79,12.03,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.77,13.67,6.12
2015-05-13,7.6,13.96,Mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.7,5.29,6.22
2015-05-14,4.56,13.45,Partly cloudy throughout the day.,partly-cloudy-day,0.38,0.67,7.54,6.22
2015-05-15,1.87,13.08,Possible drizzle in the evening.,rain,0.73,0.81,6.04,5.27
2015-05-16,6.71,11.68,Possible drizzle in the evening.,rain,0.65,0.76,12.22,6.22
2015-05-17,6.69,10.82,"Possible light rain until morning, starting again in the evening.",rain,0.79,0.84,10.61,5.85
2015-05-18,5.92,11.35,"Light rain until afternoon, starting again overnight.",rain,0.75,0.83,6.52,6.03
2015-05-19,5.01,12.87,Partly cloudy throughout the day.,rain,0.44,0.75,8.87,6.22
2015-05-20,6.72,14.4,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.71,8.74,6.22
2015-05-21,8.52,12.9,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.78,8.59,6.22
2015-05-22,9.04,15.45,Mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.81,9.6,5.87
2015-05-23,3.86,16.49,Possible drizzle overnight.,clear-day,0.28,0.73,4.82,6.18
2015-05-24,8.03,12.05,Mostly cloudy throughout the day.,rain,0.75,0.8,9.95,6.1
2015-05-25,7.71,15.44,Partly cloudy throughout the day.,partly-cloudy-day,0.56,0.73,8.68,6.19
2015-05-26,8.0,13.45,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.74,9.04,6.22
2015-05-27,7.63,10.99,Possible light rain starting in the afternoon.,rain,0.82,0.82,6.99,6.08
2015-05-28,6.05,11.68,Possible drizzle in the morning.,rain,0.65,0.79,10.71,6.17
2015-05-29,5.61,12.34,Partly cloudy throughout the day.,partly-cloudy-day,0.54,0.75,7.87,6.21
2015-05-30,4.67,14.2,Possible light rain overnight.,rain,0.39,0.7,6.93,6.21
2015-05-31,5.48,11.18,Possible light rain in the morning.,rain,0.71,0.79,10.15,5.28
2015-06-01,4.24,12.46,Possible light rain in the evening and overnight.,rain,0.67,0.8,10.89,5.8
2015-06-02,6.33,12.16,Possible light rain in the morning.,rain,0.79,0.8,13.9,5.75
2015-06-03,7.01,14.71,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.73,8.06,6.22
2015-06-04,6.52,15.76,Partly cloudy throughout the day.,partly-cloudy-day,0.47,0.79,2.7,6.2
2015-06-05,10.31,15.93,Possible drizzle in the morning.,rain,0.51,0.78,7.49,6.1
2015-06-06,8.71,10.99,Light rain in the morning and afternoon.,rain,0.63,0.81,16.03,5.82
2015-06-07,7.72,14.7,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.71,10.19,6.22
2015-06-08,4.2,15.49,Clear throughout the day.,clear-day,0.26,0.7,4.42,6.22
2015-06-09,3.97,17.89,Clear throughout the day.,clear-day,0.29,0.71,3.31,6.22
2015-06-10,5.49,21.22,Clear throughout the day.,clear-day,0.19,0.68,3.56,6.12
2015-06-11,6.14,22.61,Clear throughout the day.,clear-day,0.19,0.66,2.82,6.22
2015-06-12,7.2,21.96,Clear throughout the day.,clear-day,0.18,0.68,3.07,6.22
2015-06-13,9.62,14.28,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.81,5.8,6.19
2015-06-14,7.62,14.78,Mostly cloudy throughout the day.,partly-cloudy-day,0.66,0.77,4.61,5.86
2015-06-15,4.71,16.27,Partly cloudy throughout the day.,partly-cloudy-day,0.34,0.76,3.23,6.22
2015-06-16,10.79,17.66,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.8,5.36,6.13
2015-06-17,10.0,15.31,Mostly cloudy throughout the day.,partly-cloudy-day,0.74,0.82,11.6,5.94
2015-06-18,9.37,11.62,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.82,9.5,5.82
2015-06-19,9.36,13.71,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.83,6.24,6.21
2015-06-20,10.54,17.78,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.84,5.04,5.38
2015-06-21,9.5,14.19,Possible drizzle in the morning.,rain,0.74,0.82,7.73,6.17
2015-06-22,8.82,16.68,Partly cloudy throughout the day.,partly-cloudy-day,0.54,0.76,5.75,6.19
2015-06-23,5.59,18.52,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.74,3.64,6.22
2015-06-24,7.75,17.22,Light rain overnight.,partly-cloudy-day,0.58,0.82,1.81,6.22
2015-06-25,11.82,16.46,Possible light rain until evening.,rain,0.68,0.9,2.52,5.16
2015-06-26,11.76,16.2,Possible drizzle in the afternoon.,rain,0.77,0.86,5.37,5.75
2015-06-27,10.71,19.64,Partly cloudy throughout the day.,partly-cloudy-day,0.59,0.78,5.43,6.22
2015-06-28,12.97,17.92,Light rain in the morning.,rain,0.69,0.82,7.96,5.76
2015-06-29,12.04,18.1,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.82,5.34,5.91
2015-06-30,13.87,23.01,Mostly cloudy throughout the day.,partly-cloudy-day,0.68,0.8,5.3,6.22
2015-07-01,16.22,26.66,Possible light rain in the evening and overnight.,rain,0.19,0.74,3.97,6.22
2015-07-02,13.0,21.8,Possible drizzle in the evening.,rain,0.55,0.84,4.98,5.57
2015-07-03,10.28,23.06,Possible drizzle overnight.,partly-cloudy-day,0.33,0.74,4.19,5.16
2015-07-04,12.48,19.36,Rain in the morning.,rain,0.57,0.84,8.44,6.17
2015-07-05,10.12,18.22,Partly cloudy throughout the day.,partly-cloudy-day,0.45,0.81,3.64,6.17
2015-07-06,10.72,18.77,Possible light rain in the evening and overnight.,rain,0.69,0.84,5.0,5.93
2015-07-07,13.52,18.35,Possible light rain in the morning and afternoon.,rain,0.75,0.86,7.04,5.77
2015-07-08,10.58,16.86,Light rain in the morning.,rain,0.59,0.77,6.86,5.81
2015-07-09,6.28,16.23,Partly cloudy throughout the day.,partly-cloudy-day,0.34,0.71,4.72,6.01
2015-07-10,10.72,20.09,Possible drizzle in the morning and overnight.,rain,0.67,0.83,4.97,5.36
2015-07-11,13.5,17.85,Possible drizzle in the evening.,rain,0.72,0.84,7.59,5.77
2015-07-12,12.36,15.98,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.8,7.94,5.9
2015-07-13,11.27,16.83,Light rain until evening.,rain,0.7,0.87,3.3,5.7
2015-07-14,8.56,18.17,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.76,4.66,6.22
2015-07-15,7.97,18.52,Clear throughout the day.,clear-day,0.23,0.67,5.96,6.22
2015-07-16,7.96,18.46,Possible light rain overnight.,partly-cloudy-day,0.57,0.76,5.53,6.22
2015-07-17,11.22,16.02,"Rain until morning, starting again in the evening.",rain,0.75,0.84,9.54,5.54
2015-07-18,11.06,16.86,Light rain in the evening and overnight.,rain,0.77,0.81,12.63,5.64
2015-07-19,11.01,17.39,Possible light rain in the morning.,rain,0.69,0.81,5.72,6.09
2015-07-20,8.91,15.72,Possible drizzle in the afternoon and evening.,rain,0.71,0.88,4.38,5.89
2015-07-21,11.76,15.42,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.82,7.28,6.18
2015-07-22,9.07,15.97,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.78,5.6,6.22
2015-07-23,10.03,15.41,Possible drizzle in the afternoon.,rain,0.55,0.78,8.66,6.22
2015-07-24,7.43,17.08,Possible light rain in the morning and afternoon.,rain,0.45,0.78,3.79,6.22
2015-07-25,8.27,16.84,Possible light rain in the afternoon.,rain,0.28,0.77,4.48,6.22
2015-07-26,6.84,15.9,Possible drizzle in the evening.,rain,0.44,0.81,5.31,5.74
2015-07-27,9.28,12.07,"Light rain until morning, starting again in the evening.",rain,0.73,0.87,7.28,6.02
2015-07-28,9.16,13.08,Possible light rain until evening.,rain,0.69,0.91,2.21,5.72
2015-07-29,7.83,16.72,Partly cloudy throughout the day.,partly-cloudy-day,0.42,0.8,5.09,6.19
2015-07-30,7.99,15.99,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.7,5.64,6.22
2015-07-31,10.78,15.21,Possible light rain throughout the day.,rain,0.69,0.83,7.36,6.1
2015-08-01,8.11,15.28,Foggy in the morning.,partly-cloudy-day,0.48,0.81,7.22,5.98
2015-08-02,7.55,16.74,Mostly cloudy throughout the day.,partly-cloudy-day,0.55,0.86,5.56,6.22
2015-08-03,13.71,18.47,Mostly cloudy throughout the day.,partly-cloudy-day,0.58,0.78,10.38,6.19
2015-08-04,12.58,16.07,Possible drizzle in the afternoon and evening.,rain,0.71,0.81,11.88,6.04
2015-08-05,11.54,16.37,Possible light rain in the evening and overnight.,rain,0.74,0.85,6.34,5.97
2015-08-06,11.16,17.67,Possible drizzle in the morning.,rain,0.62,0.8,6.6,5.73
2015-08-07,6.77,19.05,Foggy in the morning.,partly-cloudy-day,0.33,0.73,3.66,5.8
2015-08-08,7.68,18.39,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.77,6.75,6.2
2015-08-09,13.34,18.23,Mostly cloudy throughout the day.,partly-cloudy-day,0.7,0.84,8.73,6.2
2015-08-10,11.83,18.18,Possible light rain in the morning and afternoon.,rain,0.66,0.86,6.78,6.14
2015-08-11,10.68,16.38,Mostly cloudy throughout the day.,partly-cloudy-day,0.63,0.81,5.56,6.22
2015-08-12,9.77,18.16,Foggy overnight.,partly-cloudy-day,0.69,0.75,2.87,6.22
2015-08-13,6.04,22.72,Foggy in the morning.,partly-cloudy-day,0.36,0.76,2.39,5.68
2015-08-14,11.79,16.6,Possible light rain in the morning.,rain,0.66,0.86,3.7,6.19
2015-08-15,8.99,16.24,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.74,7.31,6.22
2015-08-16,8.99,18.84,Clear throughout the day.,clear-day,0.25,0.72,3.54,6.22
2015-08-17,8.11,21.29,Clear throughout the day.,clear-day,0.18,0.71,2.17,6.22
2015-08-18,7.39,21.06,Clear throughout the day.,clear-day,0.15,0.75,3.39,5.96
2015-08-19,10.38,19.06,Light rain in the afternoon and evening.,rain,0.59,0.85,4.4,5.64
2015-08-20,11.9,18.4,Mostly cloudy throughout the day.,partly-cloudy-day,0.73,0.85,5.5,6.19
2015-08-21,15.05,20.7,Mostly cloudy throughout the day.,partly-cloudy-day,0.66,0.8,7.88,6.22
2015-08-22,13.7,18.1,Possible light rain overnight.,partly-cloudy-day,0.47,0.81,3.99,6.22
2015-08-23,14.75,24.89,Possible light rain in the morning and overnight.,rain,0.42,0.74,10.25,5.71
2015-08-24,13.23,18.22,Mostly cloudy throughout the day.,rain,0.64,0.81,3.86,6.11
2015-08-25,9.66,17.72,Clear throughout the day.,partly-cloudy-day,0.42,0.73,5.01,6.22
2015-08-26,11.43,16.58,Possible light rain in the morning and afternoon.,rain,0.61,0.85,5.38,5.74
2015-08-27,10.88,16.07,Possible drizzle in the morning and afternoon.,rain,0.7,0.85,9.17,6.0
2015-08-28,11.03,16.76,Mostly cloudy throughout the day.,partly-cloudy-day,0.62,0.82,8.33,6.22
2015-08-29,12.27,17.97,Foggy overnight.,partly-cloudy-day,0.54,0.81,8.94,6.22
2015-08-30,10.69,17.38,Partly cloudy throughout the day.,partly-cloudy-day,0.48,0.81,4.36,6.04
2015-08-31,7.91,17.41,Foggy overnight.,partly-cloudy-day,0.41,0.84,2.39,6.06
2015-09-01,9.39,17.37,Partly cloudy throughout the day.,partly-cloudy-day,0.45,0.81,3.77,6.11
2015-09-02,10.31,15.22,Partly cloudy throughout the day.,partly-cloudy-day,0.48,0.78,3.65,6.21
2015-09-03,7.92,17.27,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.72,5.74,6.22
2015-09-04,6.68,14.96,Partly cloudy throughout the day.,partly-cloudy-day,0.38,0.83,4.52,6.21
2015-09-05,4.92,16.4,Clear throughout the day.,partly-cloudy-day,0.33,0.69,4.22,6.22
2015-09-06,5.64,17.62,Foggy overnight.,clear-day,0.27,0.78,6.11,6.22
2015-09-07,5.5,18.67,Foggy in the morning.,partly-cloudy-day,0.38,0.85,1.94,4.16
2015-09-08,10.45,17.12,Foggy in the morning.,partly-cloudy-day,0.81,0.88,2.95,4.83
2015-09-09,10.31,15.0,Mostly cloudy throughout the day.,partly-cloudy-day,0.82,0.81,3.97,5.49
2015-09-10,10.76,20.15,Clear throughout the day.,partly-cloudy-day,0.46,0.72,6.57,6.22
2015-09-11,9.8,19.59,Partly cloudy throughout the day.,clear-day,0.3,0.72,8.56,6.22
2015-09-12,10.6,14.41,Possible drizzle in the morning and afternoon.,rain,0.57,0.82,8.12,6.15
2015-09-13,8.03,16.0,Partly cloudy throughout the day.,partly-cloudy-day,0.38,0.84,3.55,6.22
2015-09-14,8.63,14.75,Foggy overnight.,partly-cloudy-day,0.49,0.86,2.82,5.59
2015-09-15,6.82,14.97,Foggy in the morning and overnight.,partly-cloudy-day,0.4,0.85,3.85,5.3
2015-09-16,4.48,17.22,Foggy in the morning and overnight.,partly-cloudy-day,0.34,0.79,2.11,5.26
2015-09-17,8.14,17.0,Foggy overnight.,partly-cloudy-day,0.39,0.82,3.11,5.79
2015-09-18,9.05,18.79,Foggy in the morning and overnight.,partly-cloudy-day,0.55,0.81,1.79,5.33
2015-09-19,6.19,14.93,Foggy in the morning.,partly-cloudy-day,0.66,0.85,2.54,4.71
2015-09-20,11.36,15.9,Possible light rain in the evening and overnight.,rain,0.81,0.85,4.08,6.22
2015-09-21,8.59,15.48,Possible drizzle in the morning.,rain,0.65,0.85,4.92,5.83
2015-09-22,5.47,16.05,Partly cloudy throughout the day.,clear-day,0.25,0.81,5.38,6.21
2015-09-23,6.94,15.18,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.85,5.04,5.75
2015-09-24,8.33,13.21,Possible light rain in the afternoon and evening.,rain,0.67,0.83,8.6,6.11
2015-09-25,9.05,14.97,Partly cloudy throughout the day.,partly-cloudy-day,0.62,0.82,6.77,6.05
2015-09-26,8.85,15.33,Foggy overnight.,partly-cloudy-day,0.69,0.86,2.43,6.17
2015-09-27,5.6,17.41,Foggy in the evening and overnight.,clear-day,0.26,0.81,2.34,4.78
2015-09-28,5.08,17.47,Clear throughout the day.,clear-day,0.24,0.8,2.88,5.4
2015-09-29,7.35,19.79,Foggy in the morning and overnight.,clear-day,0.13,0.81,2.26,5.21
2015-09-30,4.92,19.46,"Foggy until afternoon, starting again overnight.",partly-cloudy-day,0.54,0.85,1.16,3.39
2015-10-01,5.08,18.19,Foggy throughout the day.,cloudy,0.88,0.83,1.8,3.05
